date,region,product_category,sales_amount,quantity,unit_price,discount_pct,shipping_cost,customer_rating,return_flag,marketing_spend,profit_margin,customer_age,payment_method
2024-01-03,North,Electronics,1250.00,5,250.00,10.0,45.50,4.5,No,200.00,22.5,34,Credit Card
2024-01-03,South,Clothing,380.00,4,95.00,5.0,25.00,3.8,No,150.00,35.0,28,UPI
2024-01-05,East,Electronics,2100.00,7,300.00,15.0,60.00,4.2,No,350.00,18.0,42,Credit Card
2024-01-05,West,Home & Kitchen,450.00,3,150.00,0.0,30.00,4.0,No,100.00,28.0,35,Debit Card
2024-01-07,North,Clothing,620.00,8,77.50,20.0,35.00,3.5,Yes,180.00,30.0,25,UPI
2024-01-08,South,Electronics,890.00,2,445.00,5.0,40.00,4.8,No,250.00,20.0,38,Credit Card
2024-01-10,East,Home & Kitchen,1500.00,10,150.00,12.0,55.00,3.9,No,300.00,25.0,45,Net Banking
2024-01-10,West,Clothing,275.00,5,55.00,8.0,20.00,4.1,No,120.00,40.0,22,UPI
2024-01-12,North,Electronics,3200.00,4,800.00,10.0,75.00,4.6,No,500.00,15.0,55,Credit Card
2024-01-14,South,Home & Kitchen,680.00,6,113.33,0.0,38.00,3.7,No,140.00,32.0,31,Debit Card
2024-01-15,East,Clothing,410.00,7,58.57,15.0,28.00,4.3,No,160.00,38.0,27,UPI
2024-01-17,West,Electronics,1750.00,3,583.33,5.0,50.00,4.4,No,280.00,19.0,40,Credit Card
2024-01-18,North,Home & Kitchen,520.00,4,130.00,10.0,32.00,3.6,Yes,110.00,30.0,33,Net Banking
2024-01-20,South,Clothing,340.00,6,56.67,12.0,22.00,4.0,No,130.00,36.0,24,UPI
2024-01-22,East,Electronics,4500.00,9,500.00,8.0,90.00,4.7,No,600.00,16.0,48,Credit Card
2024-01-23,West,Home & Kitchen,310.00,2,155.00,0.0,25.00,4.2,No,90.00,29.0,36,Debit Card
2024-01-25,North,Clothing,550.00,10,55.00,25.0,30.00,3.4,Yes,170.00,42.0,21,UPI
2024-01-27,South,Electronics,1100.00,3,366.67,5.0,45.00,4.5,No,220.00,21.0,39,Credit Card
2024-01-28,East,Home & Kitchen,780.00,5,156.00,10.0,42.00,3.8,No,190.00,27.0,43,Net Banking
2024-01-30,West,Clothing,290.00,4,72.50,8.0,18.00,4.1,No,100.00,39.0,26,UPI
2024-02-01,North,Electronics,2800.00,6,466.67,12.0,65.00,4.3,No,450.00,17.0,50,Credit Card
2024-02-02,South,Home & Kitchen,420.00,3,140.00,5.0,28.00,3.9,No,105.00,31.0,32,Debit Card
2024-02-04,East,Clothing,610.00,9,67.78,18.0,33.00,3.6,Yes,175.00,37.0,23,UPI
